2026/08/29 15:17:23.422, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 1 %, 0 %, 35
2026/08/29 15:17:23.628, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 1 %, 0 %, 35
2026/08/29 15:17:23.828, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:24.029, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:24.231, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 15:17:24.431, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:24.631, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:24.832, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:25.032, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:25.232, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:25.432, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 15:17:25.632, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
