2026/08/29 18:56:52.339, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:52.544, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:52.744, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:52.944, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:53.144, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:53.344, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 18:56:53.545, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 18:56:53.745, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 18:56:53.945, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 18:56:54.145, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.71 W, 0 %, 0 %, 35
2026/08/29 18:56:54.345, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:54.545, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:54.745, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:54.945, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:55.145, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:56:55.345, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.79 W, 2 %, 0 %, 35
2026/08/29 18:56:55.545, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.05 W, 2 %, 1 %, 35
2026/08/29 18:56:55.745, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.06 W, 0 %, 0 %, 35
2026/08/29 18:56:55.945, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.28 W, 80 %, 0 %, 35
2026/08/29 18:56:56.146, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.33 W, 81 %, 0 %, 35
2026/08/29 18:56:56.346, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.29 W, 80 %, 0 %, 35
2026/08/29 18:56:56.546, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.13 W, 80 %, 0 %, 35
2026/08/29 18:56:56.746, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.21 W, 80 %, 0 %, 35
2026/08/29 18:56:56.946, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.10 W, 80 %, 0 %, 35
2026/08/29 18:56:57.146, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.29 W, 81 %, 0 %, 35
2026/08/29 18:56:57.346, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.40 W, 81 %, 0 %, 35
2026/08/29 18:56:57.546, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.38 W, 81 %, 0 %, 35
2026/08/29 18:56:57.746, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.41 W, 81 %, 0 %, 35
2026/08/29 18:56:57.946, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.51 W, 81 %, 0 %, 35
2026/08/29 18:56:58.146, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.48 W, 81 %, 0 %, 35
2026/08/29 18:56:58.346, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.26 W, 81 %, 0 %, 35
2026/08/29 18:56:58.546, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.29 W, 81 %, 0 %, 35
2026/08/29 18:56:58.747, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.32 W, 81 %, 0 %, 35
2026/08/29 18:56:58.947, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.24 W, 81 %, 0 %, 35
2026/08/29 18:56:59.147, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.17 W, 81 %, 0 %, 35
2026/08/29 18:56:59.347, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.26 W, 81 %, 0 %, 35
2026/08/29 18:56:59.547, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.37 W, 81 %, 0 %, 35
2026/08/29 18:56:59.747, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.29 W, 81 %, 0 %, 35
2026/08/29 18:56:59.947, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.17 W, 81 %, 0 %, 35
2026/08/29 18:57:00.147, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.99 W, 46 %, 0 %, 35
2026/08/29 18:57:00.347, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.93 W, 0 %, 0 %, 35
2026/08/29 18:57:00.547, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.70 W, 0 %, 0 %, 35
2026/08/29 18:57:00.747, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.60 W, 0 %, 0 %, 35
2026/08/29 18:57:00.947, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 202.60 W, 0 %, 0 %, 35
2026/08/29 18:57:01.147, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
2026/08/29 18:57:01.348, 0, GPU-778768b4-6c9e-e483-890e-0812760948ae, P0, 1095 MHz, 1095 MHz, 3996 MHz, 201.68 W, 0 %, 0 %, 35
