1788085303280799684,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.32 W, 34, 1100.00 W
1788085303514830028,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.37 W, 34, 1100.00 W
1788085303750558047,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.36 W, 34, 1100.00 W
1788085303982747890,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.44 W, 34, 1100.00 W
1788085304219335992,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.45 W, 34, 1100.00 W
1788085304454258320,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.65 W, 34, 1100.00 W
1788085304935543930,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.67 W, 34, 1100.00 W
1788085305162936928,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.72 W, 34, 1100.00 W
1788085305389661433,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.61 W, 34, 1100.00 W
1788085305618702707,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.52 W, 34, 1100.00 W
1788085305847896378,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.52 W, 34, 1100.00 W
1788085306076900062,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.62 W, 34, 1100.00 W
1788085306310533075,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 184.75 W, 34, 1100.00 W
1788085306544770351,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 200.33 W, 35, 1100.00 W
1788085306771167470,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 214.01 W, 35, 1100.00 W
1788085306997103293,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 228.04 W, 35, 1100.00 W
1788085307225157727,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 241.68 W, 35, 1100.00 W
1788085307452351940,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.03 W, 35, 1100.00 W
1788085307677982727,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 246.83 W, 35, 1100.00 W
1788085307903075568,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.19 W, 35, 1100.00 W
1788085308127978352,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.42 W, 36, 1100.00 W
1788085308358794102,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.41 W, 35, 1100.00 W
1788085308584688617,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.41 W, 36, 1100.00 W
1788085308813458787,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.41 W, 36, 1100.00 W
1788085309040813498,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085309265953212,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085309491431021,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085309715707003,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.49 W, 36, 1100.00 W
1788085309940141862,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.46 W, 36, 1100.00 W
1788085310165791142,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085310391169154,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.49 W, 36, 1100.00 W
1788085310614569184,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.49 W, 36, 1100.00 W
1788085310839162863,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085311067935155,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085311297738737,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.42 W, 36, 1100.00 W
1788085311524269599,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 249.35 W, 36, 1100.00 W
1788085311761424634,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 282.73 W, 37, 1100.00 W
1788085311987020925,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 310.68 W, 38, 1100.00 W
1788085312213476679,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 341.27 W, 38, 1100.00 W
1788085312440665337,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 373.18 W, 38, 1100.00 W
1788085312670749437,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.56 W, 38, 1100.00 W
1788085312897839045,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.26 W, 38, 1100.00 W
1788085313124987584,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.12 W, 38, 1100.00 W
1788085313355642670,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.01 W, 38, 1100.00 W
1788085313582806529,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.56 W, 38, 1100.00 W
1788085313810077106,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.67 W, 38, 1100.00 W
1788085314037764880,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 379.78 W, 38, 1100.00 W
1788085314267594115,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.42 W, 39, 1100.00 W
1788085314494586007,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.56 W, 39, 1100.00 W
1788085314720173710,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.93 W, 39, 1100.00 W
1788085314950102195,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 383.04 W, 39, 1100.00 W
1788085315178242276,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.52 W, 39, 1100.00 W
1788085315404735522,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.71 W, 39, 1100.00 W
1788085315634143393,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.52 W, 39, 1100.00 W
1788085315861035436,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.65 W, 39, 1100.00 W
1788085316088066187,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.78 W, 39, 1100.00 W
1788085316314467616,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.78 W, 39, 1100.00 W
1788085316541614757,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 374.51 W, 39, 1100.00 W
1788085316768148125,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 345.92 W, 37, 1100.00 W
1788085316994435905,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 316.95 W, 37, 1100.00 W
1788085317219557656,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 283.60 W, 37, 1100.00 W
1788085317445586069,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 256.58 W, 36, 1100.00 W
1788085317674331777,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085317933398316,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085318160803707,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085318391938684,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
1788085318619779411,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.45 W, 36, 1100.00 W
