1788083934284012901,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.46 W, 34, 1100.00 W
1788083934516610402,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.38 W, 34, 1100.00 W
1788083934747144193,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.38 W, 34, 1100.00 W
1788083934978134321,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.41 W, 34, 1100.00 W
1788083935211561746,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.49 W, 34, 1100.00 W
1788083935444702473,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 183.76 W, 34, 1100.00 W
1788083936017930685,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.30 W, 34, 1100.00 W
1788083936417501936,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.25 W, 34, 1100.00 W
1788083936644070986,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.21 W, 34, 1100.00 W
1788083936868559357,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.03 W, 34, 1100.00 W
1788083937093091297,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.15 W, 34, 1100.00 W
1788083937320771140,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 120 MHz, 3996 MHz, 184.20 W, 34, 1100.00 W
1788083937545316250,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 188.01 W, 34, 1100.00 W
1788083937780451345,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 201.79 W, 35, 1100.00 W
1788083938002944076,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 215.36 W, 35, 1100.00 W
1788083938224562539,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 229.50 W, 35, 1100.00 W
