H,samples_per_path,baseline_p50_ms,vshard2_p2_p50_ms,vshard4_p1_p50_ms,vshard4_p2_p50_ms,vshard2_p2_over_vshard4_p2_p50_x,vshard4_p2_faster_than_vshard2_p2,vshard2_p2_p95_ms,vshard4_p2_p95_ms,vshard2_p2_p99_ms,vshard4_p2_p99_ms,extension_sha256,source_json,source_json_sha256
1,500,0.7488960027694702,0.5498560070991516,0.5497599840164185,0.48633599281311035,1.1306093220010776,True,0.5517455846071243,0.49057759493589403,0.5577625602483749,0.4941913604736328,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h1_bf16_cyclic.json,733fbba40e9474824d1da734bf4740315a78c5f51a0d7ad9ad53c4de2869207c
2,500,0.7542719841003418,0.5573440194129944,0.5570720136165619,0.4933599978685379,1.1296903312406488,True,0.5633008182048798,0.4978416129946709,0.5779350596666336,0.5113423746824264,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h2_bf16_cyclic.json,734a8cfc5601364c92190494f885a2828b814f09edd76559de2b21303a8cc9bc
3,500,0.7592639923095703,0.5596479773521423,0.5613600015640259,0.5000640153884888,1.1191526687185522,True,0.5641023755073548,0.5032352030277252,0.5742566686868668,0.5112390428781509,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h3_bf16_cyclic.json,fe0a19746d1de19a42f29ec0468c569cafaa94d17705cd522f09064e40cc41d3
4,500,0.760239988565445,0.563103973865509,0.5651519894599915,0.5040000081062317,1.1172697714457567,True,0.565484806895256,0.5075808256864548,0.5711680054664612,0.5117677021026611,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h4_bf16_cyclic.json,ea148fe9771d94ebcec29e5f79037a8756070be7f7a9715e0e77c0e7d6c8176f
5,500,0.765887975692749,0.5693119764328003,0.5688959956169128,0.5076319873332977,1.121505324011438,True,0.583556804060936,0.5209711760282516,0.5877872049808502,0.5251299399137497,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h5_bf16_cyclic.json,42b8872a02adaeb76a3043f0c4ca13d4a1665d75c6974fbcee89364bb8ecb326
6,500,0.7731199860572815,0.5735199749469757,0.5729280114173889,0.5103999972343445,1.1236676686023774,True,0.5853808164596558,0.5228688091039657,0.5939523202180862,0.5311785441637039,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h6_bf16_cyclic.json,0b8ddf7ab60c70cb7e5da1155dfc146aa9b535cef097a428653221305ddbf2fd
7,500,0.7781760096549988,0.5788800120353699,0.5766240060329437,0.5148159861564636,1.1244406304419534,True,0.5922896176576614,0.5281679779291153,0.5974448043107986,0.5316847878694534,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h7_bf16_cyclic.json,fd60e194680c2c8b8f2fadc1e9145b3e4b120ad44e26e972762f0cd444906df1
8,500,0.7848159968852997,0.5815840065479279,0.5795199871063232,0.5181760191917419,1.1223676608097197,True,0.5872063875198364,0.523905622959137,0.5973836612701415,0.5287091076374054,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h8_bf16_cyclic.json,9b2b8a8e4f83b26ff23abd482914dfbd12edf3ae0290eb4ff8d374bc200edbc7
9,500,0.8112159967422485,0.6124639809131622,0.6105439960956573,0.545712023973465,1.1223208469068717,True,0.6353311955928802,0.5681279897689819,0.644896290898323,0.5747248250246048,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h9_bf16_cyclic.json,e8ac8c8229ce5d2f1e0c09d56fb2bf0ab8ff23f7d0db1ba4d72a0859255f2045
10,500,0.8266399800777435,0.6291999816894531,0.6284960210323334,0.5620160102844238,1.1195410276141937,True,0.6416992276906968,0.5746560096740723,0.6479046189785004,0.5788944119215012,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h10_bf16_cyclic.json,5c8e9738d5320423140c556b52a7f08a513d3cc75935d3e2b8475e5afc34a40f
11,500,0.8045439720153809,0.6033119857311249,0.6007040143013,0.53711998462677,1.123235036861177,True,0.6065679907798767,0.5409952133893967,0.6104982244968414,0.5451859360933304,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h11_bf16_cyclic.json,ca9a55526d1d154d3cd38f3bc3bb0067fe2d89b364863adfd57bf2ffb8eddfea
